New Mexico,Albuquerque,558874,882.8,5.4,71.9,247.1,558.4,5446.1,1095.6,3713.9,636.6,15.4
California,Anaheim,346956,317.3,4,22.8,120.5,170.1,2362.3,375,1619.8,367.5,6.6
Alaska,Anchorage,301306,864.6,4,130.1,164.6,565.9,3827,456.3,3059,311.6,26.9
Texas,Arlington,382976,484.1,3.4,53.8,128.7,298.2,3515.1,644.9,2633.6,236.6,6.8
Georgia,Atlanta,454363,1227.4,20.5,33.2,512.6,661.1,5747.4,1203.9,3631,912.5,16.5
Colorado,Aurora,350948,412.6,3.1,78.1,118.8,212.6,2838.6,517.5,2018,303.2,21.7
Texas,Austin,903924,396.2,3.5,63.2,96.6,232.9,4142.4,634.2,3255,253.1,10.5
California,Bakersfield,367406,456.7,4.6,5.7,179.6,266.7,3972.4,1106.4,2244.7,621.4,101.3
Maryland,Baltimore,623513,1338.5,33.8,39.3,589.7,675.7,4718.4,1110.8,2888.2,719.5,34.2
Massachusetts,Boston,654413,725.7,8.1,42.8,256.7,418.1,2638.9,409.5,1998.3,231,N/A
New York,Buffalo,258419,1228.2,23.2,67.3,494.2,643.5,4817.4,1207,3235.8,374.6,N/A
Arizona,Chandler,252369,184.7,0.4,23.8,44,116.5,2236,378,1767.6,90.3,38.4
North Carolina,Charlotte-Mecklenburg,856916,589.8,5.5,24.5,185.1,374.7,3566.9,703.8,2663.9,199.2,19.3
California,Chula Vista,259894,235.5,2.7,15.4,82.3,135.1,1740.7,235.9,1189.3,315.5,13.5
Illinois,Chicago,2724121,884.3,15.1,49.3,359.9,460,3126.2,533.6,2224.6,367.9,16.9
Ohio,Cincinnati,297671,905.4,20.2,76.6,455.5,353.1,5562.2,1619.2,3574.1,368.9,118.6
Ohio,Cleveland,388655,1334.3,16.2,124,769.3,424.8,5434.4,1787.7,2659.2,987.5,78.2
Colorado,Colorado Springs,444949,458.3,4.5,92.6,90.8,270.4,3667.6,620.1,2677.6,369.9,21.1
Ohio,Columbus,830811,549.2,10,88.8,252.5,197.9,4253,1091.2,2807.9,353.9,N/A
Texas,Corpus Christi,319211,656,8.5,87.7,118.1,441.7,4420.3,725.5,3519,175.7,15.7
Texas,Dallas,1272396,664.7,9.1,61.4,303.1,291.1,3589.2,918.3,2117.2,553.7,30.3
Colorado,Denver,665353,598.6,4.7,67.3,164,362.7,3359.4,684.6,2158.7,516.1,20.7
Michigan,Detroit,684694,1988.6,43.5,81.4,521.4,1342.4,4817.2,1340.3,2004.3,1472.6,71.6
Texas,El Paso,680273,392.6,3.1,49.2,61,279.3,2141.8,232.1,1789,120.7,7.1
Indiana,Fort Wayne,257172,317.3,4.7,40.4,134.9,137.3,3247.6,686.3,2419.8,141.5,17.5
Texas,Fort Worth*,789035,560.2,6.1,66.3,159.2,328.6,4343.5,1053.9,2985.5,304,19.6
California,Fresno,513187,464.2,9.2,10.3,152.2,292.5,4111.8,919.9,2587.2,604.7,50.5
North Carolina,Greensboro,282203,477,8.2,18.4,172.6,277.8,3600.2,888.7,2522.7,188.9,40.4
